               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.029787,             0.01384,          0.00096403,             0.83819,             0.79301,             0.81253,             0.53035,            0.031663,           0.0069388,           0.0036497,              0.0067,              0.0067,              0.0067
                 102,            0.029485,            0.013839,          0.00079652,             0.85137,               0.769,             0.81363,             0.52722,            0.031564,           0.0068842,           0.0035332,            0.006667,            0.006667,            0.006667
                 103,            0.030147,            0.013679,          0.00089716,             0.81193,             0.79176,             0.81353,             0.53273,            0.032099,           0.0069389,           0.0037359,            0.006634,            0.006634,            0.006634
                 104,            0.029786,            0.013754,          0.00070744,             0.83828,             0.76036,             0.80537,             0.52238,            0.032041,           0.0070657,           0.0035626,            0.006601,            0.006601,            0.006601
                 105,            0.029674,            0.014006,           0.0006838,             0.84426,             0.77708,             0.81078,             0.53461,            0.032486,           0.0069282,           0.0037384,            0.006568,            0.006568,            0.006568
                 106,            0.029679,            0.013392,           0.0009554,             0.84982,             0.78308,             0.81474,             0.53194,            0.032631,            0.006979,           0.0032995,            0.006535,            0.006535,            0.006535
                 107,            0.029483,            0.013249,          0.00069032,             0.84645,             0.76297,              0.8121,              0.5247,            0.032146,           0.0069818,           0.0034617,            0.006502,            0.006502,            0.006502
                 108,            0.029502,            0.013817,          0.00094705,             0.83172,             0.77816,             0.80233,             0.51447,            0.033464,           0.0071012,            0.003218,            0.006469,            0.006469,            0.006469
                 109,            0.029725,            0.013698,           0.0011365,             0.85281,             0.77522,             0.81078,             0.51976,            0.032691,           0.0070505,            0.003372,            0.006436,            0.006436,            0.006436
                 110,            0.029261,            0.013669,          0.00086617,             0.83863,             0.77909,             0.81136,             0.53095,            0.032274,           0.0069886,           0.0037789,            0.006403,            0.006403,            0.006403
                 111,            0.029363,            0.013597,           0.0008446,             0.84088,             0.77629,             0.80723,             0.53265,            0.032353,            0.007028,           0.0035695,             0.00637,             0.00637,             0.00637
                 112,            0.028782,            0.013455,          0.00071687,             0.84832,             0.78751,             0.82336,             0.53958,            0.032604,           0.0069626,           0.0034943,            0.006337,            0.006337,            0.006337
                 113,            0.028773,            0.013013,          0.00056078,             0.83523,             0.80048,             0.82463,             0.54366,             0.03235,           0.0069664,           0.0033848,            0.006304,            0.006304,            0.006304
                 114,            0.029668,            0.013468,          0.00085127,             0.85354,             0.77777,             0.81918,             0.53806,            0.032672,           0.0069556,           0.0036078,            0.006271,            0.006271,            0.006271
                 115,            0.029108,            0.013717,          0.00076473,             0.85802,              0.7761,             0.81762,             0.53513,            0.032748,            0.007018,           0.0037355,            0.006238,            0.006238,            0.006238
                 116,            0.029309,            0.013558,          0.00079017,             0.85901,             0.79004,             0.81691,             0.52993,            0.032246,           0.0070538,           0.0037502,            0.006205,            0.006205,            0.006205
                 117,              0.0285,            0.013173,          0.00078975,             0.86401,              0.7803,             0.81654,             0.53829,            0.031841,           0.0070145,           0.0039964,            0.006172,            0.006172,            0.006172
                 118,            0.029284,            0.013576,          0.00071101,             0.85966,              0.7884,             0.82406,             0.54345,            0.031744,           0.0070099,           0.0037345,            0.006139,            0.006139,            0.006139
                 119,            0.028111,            0.013265,          0.00071391,             0.86004,             0.77763,              0.8205,             0.53893,            0.032838,           0.0069659,           0.0039405,            0.006106,            0.006106,            0.006106
                 120,            0.027742,            0.013116,          0.00078594,              0.8705,             0.78241,             0.82477,              0.5446,            0.032618,           0.0069578,           0.0037294,            0.006073,            0.006073,            0.006073
                 121,            0.027921,            0.013254,          0.00077183,             0.85725,             0.78207,             0.82161,             0.54653,            0.032792,           0.0070222,           0.0036972,             0.00604,             0.00604,             0.00604
                 122,            0.027774,            0.013015,          0.00062823,             0.83944,             0.78756,             0.81459,              0.5369,            0.031909,           0.0069924,           0.0037119,            0.006007,            0.006007,            0.006007
                 123,            0.025727,            0.012189,          0.00042163,             0.85447,             0.79159,             0.82472,             0.54306,            0.032557,           0.0071394,             0.00372,            0.005974,            0.005974,            0.005974
                 124,            0.024941,            0.011836,            0.000321,             0.86513,             0.79016,             0.82847,             0.55292,            0.032102,           0.0071772,           0.0039084,            0.005941,            0.005941,            0.005941
                 125,            0.025084,            0.012054,          0.00045518,             0.85781,             0.78651,             0.82081,              0.5439,             0.03264,           0.0072923,           0.0036264,            0.005908,            0.005908,            0.005908
                 126,             0.02482,            0.011637,          0.00024323,             0.87013,             0.79656,             0.82345,             0.54194,            0.032644,           0.0072542,           0.0036637,            0.005875,            0.005875,            0.005875
                 127,            0.027802,            0.013227,          0.00070567,              0.8368,             0.80571,             0.82087,             0.54053,            0.032807,           0.0070162,           0.0038375,            0.005842,            0.005842,            0.005842
                 128,            0.027987,            0.013137,          0.00066177,              0.8424,             0.80576,             0.82506,             0.54308,            0.032654,           0.0070251,           0.0033221,            0.005809,            0.005809,            0.005809
                 129,            0.027315,            0.012727,          0.00050976,             0.85318,             0.78653,             0.81165,             0.53716,            0.032357,           0.0070842,           0.0035331,            0.005776,            0.005776,            0.005776
                 130,            0.027121,            0.012849,          0.00047599,             0.84459,             0.78353,             0.81089,             0.53808,            0.032268,           0.0070687,           0.0033842,            0.005743,            0.005743,            0.005743
                 131,            0.027115,            0.012586,          0.00068528,             0.82005,             0.79628,             0.80444,             0.52921,            0.032268,           0.0071232,            0.003315,             0.00571,             0.00571,             0.00571
                 132,            0.027279,            0.012879,          0.00053823,             0.82724,             0.80452,             0.80527,             0.52918,            0.032763,           0.0070898,           0.0035419,            0.005677,            0.005677,            0.005677
                 133,            0.027304,            0.013061,          0.00057737,             0.84628,             0.79264,             0.81369,              0.5334,            0.032702,           0.0071137,           0.0032934,            0.005644,            0.005644,            0.005644
                 134,            0.027008,            0.013057,          0.00053302,              0.8627,             0.78047,             0.82022,             0.53868,            0.033238,           0.0069976,           0.0032668,            0.005611,            0.005611,            0.005611
                 135,            0.026996,            0.012761,          0.00060738,             0.84452,             0.79058,               0.821,             0.54323,            0.032071,            0.006947,           0.0033109,            0.005578,            0.005578,            0.005578
                 136,            0.026975,            0.012905,          0.00056143,             0.84944,             0.78789,             0.81935,             0.54122,            0.032118,           0.0069682,           0.0036633,            0.005545,            0.005545,            0.005545
                 137,            0.026127,            0.012619,          0.00060328,             0.86939,             0.79362,             0.82848,             0.54993,             0.03203,           0.0069405,           0.0034282,            0.005512,            0.005512,            0.005512
                 138,            0.026966,            0.012681,           0.0005373,             0.85434,             0.78878,             0.82442,             0.54797,            0.032016,            0.007115,           0.0034462,            0.005479,            0.005479,            0.005479
                 139,            0.026641,            0.012659,           0.0004584,             0.84675,             0.79971,             0.82511,             0.54981,            0.031945,           0.0070242,           0.0033887,            0.005446,            0.005446,            0.005446
                 140,              0.0262,              0.0125,          0.00042175,             0.83952,               0.804,              0.8263,             0.55434,            0.032176,           0.0069454,           0.0033819,            0.005413,            0.005413,            0.005413
                 141,            0.025956,            0.012432,          0.00055044,             0.85429,             0.79327,             0.82478,             0.55112,            0.032171,           0.0070036,           0.0032437,             0.00538,             0.00538,             0.00538
                 142,            0.026238,            0.012265,          0.00043014,             0.85063,             0.79215,             0.82337,             0.55233,            0.032434,           0.0069759,           0.0028983,            0.005347,            0.005347,            0.005347
                 143,            0.026406,            0.012476,          0.00066255,             0.86093,             0.78902,              0.8181,             0.54933,            0.032589,           0.0069875,           0.0034066,            0.005314,            0.005314,            0.005314
                 144,            0.026251,            0.012774,          0.00054442,             0.86421,             0.79215,             0.82344,             0.55265,             0.03255,            0.006919,           0.0032292,            0.005281,            0.005281,            0.005281
                 145,            0.026666,            0.012763,          0.00047851,              0.8403,             0.80082,             0.82205,              0.5518,            0.032469,           0.0069118,           0.0036282,            0.005248,            0.005248,            0.005248
                 146,            0.025353,            0.012566,          0.00052535,             0.84617,             0.79616,              0.8197,             0.55017,            0.032313,           0.0070482,           0.0037843,            0.005215,            0.005215,            0.005215
                 147,            0.026078,            0.012608,          0.00050238,             0.84664,             0.78826,             0.81595,             0.54819,            0.032241,           0.0070629,           0.0037148,            0.005182,            0.005182,            0.005182
                 148,            0.026021,            0.012443,          0.00045044,             0.86629,             0.78238,             0.81674,             0.54735,            0.032323,           0.0070737,           0.0036319,            0.005149,            0.005149,            0.005149
                 149,            0.025769,            0.012373,          0.00041596,             0.85982,              0.7927,             0.81923,             0.55363,            0.032197,           0.0070405,           0.0036347,            0.005116,            0.005116,            0.005116
                 150,            0.025733,            0.012517,          0.00043581,              0.8705,             0.79396,             0.83077,             0.55569,            0.032228,           0.0070044,           0.0036228,            0.005083,            0.005083,            0.005083
                 151,            0.025683,            0.012467,          0.00060414,             0.85325,             0.80651,             0.82585,             0.55685,            0.031847,           0.0070266,           0.0035973,             0.00505,             0.00505,             0.00505
                 152,            0.025314,            0.012308,          0.00051439,             0.84989,              0.8049,             0.82487,             0.55861,            0.031795,            0.007022,           0.0034975,            0.005017,            0.005017,            0.005017
